[2017-02-21 23:25:04] <Sedat Gokcen> https://signalvnoise.com/posts/3071-why-we-dont-hire-programmers-based-on-puzzles-api-quizzes-math-riddles-or-other-parlor-tricks
[2017-02-23 23:43:12] <Sedat Gokcen> http://www.se-radio.net/2014/10/episode-213-james-lewis-on-microservices/
[2017-03-10 01:28:18] <Sedat Gokcen> [Tweet] https://twitter.com/_ericelliott/status/839986128270708737
[2017-03-13 10:32:11] <Sedat Gokcen> [Tweet] https://twitter.com/dret/status/841219168242417664
[2017-03-14 00:40:28] <Sedat Gokcen> [Tweet] https://twitter.com/gfixler/status/841424505310392321
[2017-03-14 00:41:24] <Sedat Gokcen> https://twitter.com/UstunOzgur/status/841423703284056065
[2017-03-18 19:57:52] <Sedat Gokcen> [Tweet] https://twitter.com/altiparmakli/status/784016819581575168
[2017-03-19 17:51:40] <Sedat Gokcen> [Tweet] https://twitter.com/ReactiveConf/status/843465598432694273
[2017-03-19 21:21:03] <Sedat Gokcen> [Tweet] https://twitter.com/duponico/status/843511554679214082
[2017-03-26 17:18:50] <Sedat Gokcen> [Tweet] https://twitter.com/newsycombinator/status/846014406576222208
[2017-03-26 19:32:11] <Sedat Gokcen> [Tweet] https://twitter.com/rwieruch/status/844955918446006277
[2017-03-27 10:03:56] <Sedat Gokcen> [Tweet] https://twitter.com/HuseyinCelik99/status/845621527248822273
[2017-03-27 11:19:30] <Sedat Gokcen> [Tweet] https://twitter.com/reza_rahman/status/845763172359458816
[2017-03-29 11:16:28] <Sedat Gokcen> [Tweet] https://twitter.com/jessfraz/status/846623925232680960
[2017-03-29 20:59:43] <Sedat Gokcen> [Tweet] https://twitter.com/ThomasJardinet/status/846386242321297409
[2017-03-31 11:57:21] <Sedat Gokcen> [Tweet] https://twitter.com/imTolstoyevski/status/826521345924149248
[2017-03-31 12:38:30] <Sedat Gokcen> https://twitter.com/Mustafaselanik3/status/847553355199127553
[2017-03-31 12:38:38] <Sedat Gokcen> https://twitter.com/ilhansesen/status/847755930892513280
[2017-03-31 13:02:26] <Sedat Gokcen> [Tweet] https://twitter.com/reactinFF/status/847761160988479488
[2017-04-01 09:10:52] <Sedat Gokcen> [Tweet] https://twitter.com/yegor256/status/848059880653148160
[2017-04-02 18:58:16] <Sedat Gokcen> [Tweet] https://twitter.com/drgurbuzcapan1/status/848562433623031812
[2017-04-02 19:03:26] <Sedat Gokcen> [Tweet] https://twitter.com/DevoxxUK/status/846663218076569601
[2017-04-02 19:05:11] <Sedat Gokcen> [Tweet] https://twitter.com/kentcdodds/status/847132666189221888
[2017-04-02 21:13:27] <Sedat Gokcen> https://twitter.com/AtlantisliAdam/status/848608685643493376
[2017-04-02 21:46:22] <Sedat Gokcen> [Tweet] https://twitter.com/Jackiilong/status/848578553197101056
[2017-04-02 22:39:20] <Sedat Gokcen> [Tweet] https://twitter.com/PavelPscheidl/status/848620377123287040
[2017-04-02 22:47:49] <Sedat Gokcen> [Tweet] https://twitter.com/newsycombinator/status/848626517756313602
[2017-04-05 07:30:25] <Sedat Gokcen> [Tweet] https://twitter.com/rseroter/status/849282918841278464
[2017-04-05 17:46:21] <Sedat Gokcen> [Tweet] https://twitter.com/starbuxman/status/849641611579592704
[2017-04-06 21:04:55] <Sedat Gokcen> [Tweet] https://twitter.com/CBILIEN/status/849934786693038080
[2017-04-07 18:11:40] <Sedat Gokcen> [Tweet] https://twitter.com/yegor256/status/850378165889503233
[2017-04-07 18:52:31] <Sedat Gokcen> [Tweet] https://twitter.com/java/status/850370583569334273
[2017-04-07 21:55:19] <Sedat Gokcen> [Tweet] https://twitter.com/skylerisabitch/status/845313328478072833
[2017-04-08 13:07:50] <Sedat Gokcen> [Tweet] https://twitter.com/aupajo/status/850188019977998338
[2017-04-08 17:48:00] <Sedat Gokcen> [Tweet] https://twitter.com/olivergierke/status/850696244494303232
[2017-04-09 14:02:59] <Sedat Gokcen> [Tweet] https://twitter.com/moelholm/status/850988297622962177
[2017-04-09 14:12:15] <Sedat Gokcen> [Tweet] https://twitter.com/banruh/status/850876088045666304
[2017-04-09 17:43:55] <Sedat Gokcen> [Tweet] https://twitter.com/phillip_webb/status/851093016248860672
[2017-04-10 08:25:47] <Sedat Gokcen> [Tweet] https://twitter.com/cenkbabaeren/status/851250061770141697
[2017-04-10 08:25:51] <Sedat Gokcen> [Tweet] https://twitter.com/kacsaatoldunet/status/851093389789589504
[2017-04-10 12:25:41] <Sedat Gokcen> [Tweet] https://twitter.com/ThePracticalDev/status/850096137826689024
[2017-04-10 15:58:17] <Sedat Gokcen> [Tweet] https://twitter.com/dan_abramov/status/851430339495034880
[2017-04-10 21:42:32] <Sedat Gokcen> [Tweet] https://twitter.com/eksiseyler/status/851147907248128000
[2017-04-11 09:59:40] <Sedat Gokcen> [Tweet] https://twitter.com/nipafx/status/851705996649037825
[2017-04-11 10:07:53] <Sedat Gokcen> [Tweet] https://twitter.com/programmableweb/status/851701901993357312
[2017-04-11 10:08:05] <Sedat Gokcen> [Tweet] https://twitter.com/maik_toepfer/status/851701650809114624
[2017-04-11 10:08:53] <Sedat Gokcen> [Tweet] https://twitter.com/nipafx/status/851359101229649920
[2017-04-11 19:21:38] <Sedat Gokcen> [Tweet] https://twitter.com/virtualJUG/status/851843395312070657
[2017-04-11 19:21:57] <Sedat Gokcen> [Tweet] https://twitter.com/gregturn/status/851843388290850816
[2017-04-11 21:32:58] <Sedat Gokcen> [Tweet] https://twitter.com/ocozalp/status/851870399189200899
[2017-04-11 22:15:09] <Sedat Gokcen> [Tweet] https://twitter.com/addaleax/status/851861260945821696
[2017-04-12 06:56:26] <Sedat Gokcen> [Tweet] https://twitter.com/vlad_mihalcea/status/852017348278013952
[2017-04-12 08:32:18] <Sedat Gokcen> [Tweet] https://twitter.com/isil_arican/status/851988353415208964
